Table 5. M2 tidal current parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,
LCC,116,134,50,9.1,2.4,113,4.0,15.6,3.5,2,2.0,16.2,3.6,8.1,2.1,353,3.0,343,4.0,40,29,67,44,,,
LCD,116,143,50,9.9,1.8,96,13.0,22.5,2.1,358,8.0,22.6,2.2,9.7,1.7,356.0,7,356.0,4,40,29,67,41,,,
LCE,145,116,484,11.6,2.7,125,6.0,18.9,1.9,23,4.0,19.1,2.0,11.2,2.7,17,4.0,350,3.0,40,25,67,40,,,
LCE,145,216,384.0,5.3,0.8,10,22.0,11.8,8.0,7,5.0,12.9,0.7,0.3,1.7,8,7,24,4,40,25,67,40,,,
LCE,145,595,5.0,6,0.6,21,12.0,14.7,1.2,24,13.0,15.8,1.3,0.3,0.6,23,13,22,1,40,25,67,40,,,
LCF,145,205,300,6.4,1.6,104,25.0,8.8,1.4,12,15.0,8.9,1.5,6.2,1.5,12,17.0,360,17.0,40,21,67,39,,,
LCF,174,405,100.0,5.4,0.8,355,7.0,4.4,0.4,358,9.0,7,0.8,0.2,0.4,356.0,7,51,3,40,21,67,39,,,
LCG,174,195,300,6.7,1.0,85,23.0,6.9,2.2,14,26.0,8.6,0.8,4.6,1.7,24,45.0,24,42.0,40,21,67,42,,,
LCG,174,395,100.0,3.1,0.5,21,9.0,4.2,0.6,357,6.0,5.1,0.7,1,0.2,5,8.0,36,5,40,21,67,42,,,
LCH*,145,290,1264,4.3,1.5,131.0,9,6.9,2.2,21.0,11,7.1,2.1,4.0,1.6,13.0,13,344.0,8,40,18,67,40,,,
LCH*,145,540,1014.0,1.6,0.4,31,23.0,3.3,1.0,312.0,20,3.4,0.9,1.5,0.4,307,43,355,30,40,18,67,40,,,
LCH*,145,890,664.0,1.4,0.3,188,7.0,3.5,0.5,2,17.0,3.8,0.5,0.1,0.3,3,16,339,4,40,18,67,40,,,
LCH*,29,1454,100,1.2,0.0,25,0.0,5.5,0.0,342,0.0,5.5,0.0,0.8,0.0,343.0,0.0,10,0.0,40,18,67,40,,,
LCH*,87,1375,5,1.1,0.1,101.0,28,5.8,0.9,332.0,19,5.8,0.9,0.8,0.3,331.0,19,354.0,3,40,18,67,40,,,
LCI,145,10,240,10,3.9,141,19.0,11.6,2.5,45,20.0,11.8,2.6,9.6,3.8,34,30.0,349,30.0,40,23,67,33,,,
LCI,145,55,195.0,9.1,2.7,125,16.0,10.8,1.8,35,17.0,11.2,1.9,8.7,2.3,46,44.0,12,33,40,23,67,33,,,
LCI,145,195,55,9.9,3.6,106,12.0,9.3 .,1.9,18,6.0,11,3.8,8,1.3,358.0,49,342.0,53,40,23,67,33,,,
LCI,145,245,5,3..8 ,0.7,57.0,23,6.0,1.6,316.0,19,6.3,1.1,3.3,0.5,302.0,33,340.0,25,40,23,67,33,,,
LCJ,116,83,488,6.4,2.0,129,20.0,9.1,2.7,45,13.0,9.1,2.7,6.2,2.1,501,8.0,8,10.0,40,21,67,32,,,
LCJ,145,223,348.0,4.9,2.6,127,11.0,7.2,2.6,30,11.0,7.3,2.6,4.8,2.6,24,11.0,351,9,40,21,67,32,,,
LCJ,145,471,100.0,1.2,0.4,5,92.0,1.6,6,227.0,18,1.8,0.6,0.5,0.7,212,21,340,32,40,21,67,32,,,
LCK,145,204,350,4,1.7,146.0,10,6.5,1.6,47.0,6,6.6,1.6,3.9,1.7,42.0,6,352,8,40,16,67,47,,,
LCK,145,454,100.0,4.3,1.3,61,22.0,4.3,1.6,296,18.0,5.5,1.7,2.6,1,263.0,21,311,16,40,16,67,47,,,
LCT,116,65,60,18.7,1.0,3,121.0,22.9,0.7,21,23.5,0.7,18.0,1,3.0,6,2.0,340,2.0,40,32,67,36,,,
LCT,116,105,20.0,19.4,3.7,106,4.0,22.6,1.2,4.0,2.0,23.9,1.9,17.9,2.9,341,17.0,332,17.0,40,32,67,36,,,
LCM*,145,103,20,18.8,1.8,100,6.0,25.5,2.5,6.0,5,25.6,2.5,18.6,1.9,2.0,7,354.0,7,40,30,67,49,,,
LCM*,174,119,1.0,10.4,2.5,85,11.0,15.1,3.7,344,8.0,15.5,3.6,9.9,2.4,333,11.0,344,11,40,30,67,49,,,
LCN,145,243,798,6.2,0.6,105,10.0,7.4,2.9,17,31.0,8.6,1.3,4.8,1.8,15.0,55,4,42,40,21,67,40,,,
LCN,145,841,200.0,4.9,1.1,5,4.0,7,1.4,347,7.0,8.4,1.7,1.2,0.3,353,6.0,34,2,40,21,67,40,,,
NANTUCKET LS,738,2,53,30.1,6.3,97,3.0,35.1,6.5,29,4.0,30.8,7.3,25.2,5.4,53,2.0,34,1.0,40,37,69,37,,,
NSA,60,5,28,7.7,1.3,40,10.0,58.8,7.6,344,7.0,59.0,0.0,6.4,0.0,345.0,0.0,4,0.0,41,31,69,36,,,
NSA,63,25,8.0,6.4,0.9,16,8.0,59.3,2.7,319,2.0,59.4,0.0,5.4,0.0,319.0,0.0,3,0.0,41,31,69,36,,,
NSB,42,10,12,37,1.8,20,3.0,62.9,2.2,345,2.0,70.5,0.0,18.9,0.0,353,0.0,28.0,0.0,41,26,69,44,,,
NSD,42,16,17,21.5,3.3,327,9.0,41.5,2.9,345.0,4,46.4,0.0,5.9,0.0,341.0,0.0,27,0.0,41,37,69,44,,,
POLLOCK RIP,369,2,12,18.6,0.0,325.0,0.0,66.1,0.0,307.0,0.0,68,0.0,5.7,0.0,308,0.0,15.0,0.0,41,37,69,54,,,
GREAT ROUND,87,2,20,59.2,0.0,12.0,0.0,32,0.0,331.0,0.0,64.5,0.0,19.3,0.0,4.0,0.0,66,0.0,41,24,69,55,,,
NSC,42,8,8,45.9,2.3,32,3.0,14.9,1.6,247,6.0,47.5,0.0,8.3,0.0,35,0.0,105.0,0.0,41,37,69,59,,,
I,29,18,23,34,0.0,71.0,0.0,24.6,0.0,347.0,0.0,34.2,0.0,24.3,0.0,64,0.0,81.0,0.0,40,43,70,1,,,
NSE,41,10,12,39.5,11.3,10,16.0,35,7.9,267,13.0,41.8,0.0,32.2,0.0,35,0.0,121.0,0.0,40,59,70,4,,,
NSFEI,172,10,36,28.1,1.0,81,2.0,24.7,0.9,353.0,2.0,28.1,0.0,24.6,0.0,75,0.0,83.0,0.0,40,41,70,8,,,
NSFEI,222,30,16.0,25.6,0.7,66,2.0,22.7,0.8,341.0,2.0,25.9,0.0,22.3,0.0,50,0.0,72.0,0.0,40,41,70,8,,,
Q,174,10,57,18.7,1.3,84,2.0,17.3,1.6,6,3.0,19.9,1.3,15.9,1.6,55.0,5.0,55,5.0,40,30,70,13,,,
Q,464,31,36.0,16.3,0.7,82,3.0,14.5,0.7,4,4.0,17.2,0.7,13.5,0.8,57,3.0,59,3,40,30,70,13,,,
Q,377,51,16.0,16.1,0.9,79,3.0,14.9,0.8,3,5.0,17.4,0.6,13.3,1.0,49.0,5,54,7,40,30,70,13,,,
Q,145,57,10,16,0.8,70.0,3,13.8,1,351.0,4,16.7,0.9,13.0,0.8,49.0,6.0,64,5.0,40,30,70,13,,,
Q,116,66,1,10,0.4,43.0,5,7.4,0.3,314.0,7,10.0,0.4,7.4,0.3,41.0,2.0,88,4.0,40,30,70,13,,,
NSFE3,46,10,78,10.5,1.8,98.0,10,10.3,2.3,23.0,13,11.7,0.0,8.9,0.0,63.0,0.0,47,0.0,40,20,70,16,,,
NSFE3,209,30,58.0,10.9,0.5,85,3.0,10.3,0.5,9,3.0,11.8,0.0,9.2,0.0,53.0,0.0,52,0.0,40,20,70,16,,,
NSFE3,209,70,18.0,11.7,0.6,77,3.0,10.5,1.0,0,5,12.4,0.0,9.6,0.0,51.0,0.0,58,0.0,40,20,70,16,,,
NSFE4,170,10,95,10,1.6,96,9.0,10.9,1.7,15.0,9,11.3,0.0,9.6,0.0,40.0,0.0,30,0.0,40,13,70,18,,,
NSFE4,224,30,75.0,8.1,0.8,94,5.0,8.1,0.8,13,6.0,8.7,0.0,7.4,0.0,54,0.0,45.0,0.0,40,13,70,18,,,
NSFE4,170,60,45.0,7.7,0.7,87,5.0,7.1,0.6,7,5.0,8.1,0.0,6.7,0.0,61,0.0,59.0,0.0,40,13,70,18,,,
NSFE4,224,90,15,8,0.9,78.0,6,8.0,1,3.0,7,9.0,0.0,6.9,0.0,41.0,0.0,45,0.0,40,13,70,18,,,
NSFE5,171,10,188,3.2,1.4,129,26.0,2.8,1.3,50,26.0,3.4,0.0,2.7,0.0,108,0.0,63.0,0.0,40,2,70,22,,,
NSFE5,171,30,168.0,2.7,,109.0,,2.3,,28.0,,2.8,0.0,2.2,0.0,92,0.0,69.0,0.0,40,2,70,22,,,
NSFE5,171,90,108.0,3.4,1.1,75,19.0,2.6,1.1,355,24.0,3.4,0.0,2.5,0.0,61,0.0,72.0,0.0,40,2,70,22,,,
NSFE5,171,120,78,4.4,0.9,71.0,12,3.9,1,347.0,15,4.5,0.0,3.8,0.0,55.0,0.0,71,0.0,40,2,70,22,,,
NSFE5,171,185,13,4.1,1.2,102,17.0,4.1,1.2,24.0,17,4.5,0.0,3.6,0.0,63.0,0.0,45,0.0,40,2,70,22,,,
NSFE6,225,10,800,1.6,0.9,236,33.0,2.4,1.1,148,26.0,2.4,0.0,1.6,0.0,150,0.0,2.0,0.0,39,51,70,25,,,
P,87,61,10,10.8,0.1,63,3.0,9.8,0.4,342.0,4,11.2,0,9.4,0.5,38.0,6,61.0,3.0,40,29,70,30,,,
P,58,70,1.0,6,0.1,30,7.0,5.2,0.1,305.0,5,6.1,0.1,5.1,0.2,16.0,11,74.0,5.0,40,29,70,30,,,
NES743,35,20,85,5.4,0.8,71,8.0,5.6,1.0,341,10.0,5.6,0.0,5.4,0.0,341,0.0,0.0,0.0,40,18,70,52,,,
NES743,35,60,45.0,4.9,0.6,72,7.0,5.1,0.8,343,9.0,5.1,0.0,4.9,0.0,354,0.0,12.0,0.0,40,18,70,52,,,
NES764,180,305,1995.0,1..6 ,0.6,59,20.0,0.4,0.4,308,54.0,1.6,0.0,0.4,0.0,60,0.0,95.0,0.0,39,37,70,56,,,
NES764,180,2005,295.0,0.7,0.2,74,19.0,0.1,0.1,41,49.0,0.7,0.0,0.1,0.0,74,0.0,83.0,0.0,39,37,70,56,,,
NES742,35,20,54,8.6,0.3,67,4.0,8.3,0.3,340,5.0,8.7,0.0,8.2,0.0,41.0,0.0,62,0.0,40,35,70,59,,,
NES742,35,60,14.0,7.9,0.4,59,6.0,7.6,0.4,331,6.0,8.0,0.0,7.5,0.0,39.0,0.0,69,0.0,40,35,70,59,,,
VINEYARD,58,2,31.0,10.7,0.0,63,0.0,27.6,0.0,300,0.0,23.4,0.0,8.7,0.0,294.0,0.0,343,0.0,41,23,71,0,,,
HENS&CHICK,369,2,16,19.7,0.0,318,0.0,8.9,0.0,253,0.0,20.1,0.0,7.9,0.0,313.0,0.0,77,0.0,41,27,71,1,,,
NES763,181,145,351,0.7,0.5,117,42,0.7,0.6,76.0,50,0.9,0.0,0.3,0.0,97.0,0.0,45,0.0,39,56,71,3,,,
NE5762,139,38,45,5.9,0.5,61,4.0,5.6,0.5,326,5.0,6,0.0,5.5,0.0,88,0.0,120.0,0.0,40,28,71,12,,,
NE5762,93,73,10.0,5.7,0.8,46,8.0,6.2,1.1,307,10.0,6.5,0.0,5.4,0.0,101,0.0,149.0,0.0,40,28,71,12,,,
NES741,35,28,30,9.2,0.5,77,3.0,9.2,0.5,349,4.0,9.4,0.0,9.0,0.0,33,0.0,45.0,0.0,40,56,71,13,,,
BRENTON REEF,369,2,24,4.2,0.0,110.0,0.0,22,0.0,289.0,0.0,22.6,0.0,0.1,0.0,289,0.0,349.0,0.0,41,26,71,23,,,
NES763W,183,302,202,1.7,0.6,66,99.0,1.2,0.5,285,24.0,2,0.0,0.6,0.0,258,0.0,303.0,0.0,39,43,71,47,,,
P32,62,70,5,4.5,0.0,25,0.0,3.9,0.0,274,0.0,5.0,0.0,3.3,0.0,230.0,0.0,303,0.0,40,15,71,51,,,
LI4,56,76,15,7,0.0,42.0,0.0,6.9,0.0,287.0,0.0,8.3,0.0,5.3,0.0,253,0.0,316.0,0.0,40,1,71,53,,,
NES762W,172,38,45,7.4,0.5,48,4.0,6.8,0.6,290,5.0,8.6,0.0,5.1,0.0,235.0,0.0,310.0,0.0,39,55,71,58,,,
LI3,168,3,64,7.9,0.0,49,0.0,6.1,0.0,298,0.0,8.5,0.0,5.3,0.0,247.0,0.0,297,0.0,40,11,72,0,,,
LT5,87,21 H,46,11.9,0.7,45.0,13,9.8,1.6,291.0,14,13.1,0.9,8.0,1.1,246.0,20,302.0,10,40,12,72,0,,,
LT5,70,21 R,46,12.3,1.3,50.0,6,9.4,1.3,300.0,8,13.1,0.0,8.3,0.0,247.0,0.0,296,0.0,40,12,72,0,,,
LT5,116,41 H,26,9.6,2.2,45.0,36,7.4,1.6,292,27.0,10.4,2.6,6.2,1.1,242,40,296,8,40,12,72,0,,,
LT5,70,41 R,26,10.8,1.1,56,6.0,8.4,1.2,309,8.0,11.3,0.0,7.6,0.0,253,0.0,295.0,0.0,40,12,72,0,,,
LT5,87,61 H,6,6.1,0.0,41,1.0,5.2,0.5,278,1.0,7.1,0.3,3.7,0.1,243,4.0,307,5.0,40,12,72,0,,,
LT5,70,61 R,6,6.2,0.5,41,5.0,5,0.7,284,8.0,6.9,0.0,4.0,0.0,241,0.0,302.0,0.0,40,12,72,0,,,
LT5,87,66 H,1,3.9,0.4,26,20.0,3.2,0.4,262,18.0,4.6,0.3,2.3,0.1,226,18.0,306,10.0,40,12,72,0,,,
LT5,70,66 R,1,4.6,0.5,43,6.0,3,0.5,286,10.0,4.9,0.0,2.5,0.0,235,0.0,293.0,0.0,40,12,72,0,,,
LI2,283,3,56,8.6,0.0,54.0,0.0,4.9,0.0,309.0,0.0,8.7,0.0,4.7,0.0,240,0.0,282.0,0.0,40,25,72,8,,,
P31,67,42,5,7.2,0.0,43,0.0,1.6,0.0,310,0.0,7.2,0.0,1.6,0.0,223.0,0.0,271,0.0,40,39,72,15,,,
LT4,29,3,49,9.5,2.0,67,3.0,4,1.9,329,25.0,9.6,2.0,3.9,2.0,247,0.0,272,9.0,40,34,72,19,,,
LT4,203,24,28,15.7,2.5,57.0,19,6.7,1.5,323.0,22,15.8,2.7,6.4,1.2,237.0,20,272.0,7,40,34,72,19,,,
LT4,174,44,8,11.1,0.9,62,6.0,4.3,1.1,321,14.0,11.2,1.0,4.1,1.0,244,5.0,275,4.0,40,34,72,19,,,
LT4,87,51,1,5,0.3,51.0,5,1.3,0.1,298.0,8,5.0,0.3,1.1,0.1,232.0,5,276.0,1,40,34,72,19,,,
L11,60,33,15,7.7,0.0,73.0,0.0,2.8,0.0,349.0,0.0,7.7,0.0,2.8,0.0,252,0.0,267.0,0.0,40,34,72,19,,,
CMICE,25,4,25,10.2,1.4,62,8.0,1.6,0.9,314,31.0,10.2,0.0,1.5,0.0,242,0.0,273.0,0.0,40,47,72,29,,,
CMICE,25,8,21.0,10.4,1.1,60,6.0,2.5,1.3,288,29.0,10.5,0.0,1.8,0.0,242,0.0,279.0,0.0,40,47,72,29,,,
CMICE,25,16,13,9.2,0.8,57,5.0,3.1,0.8,270,14.0,9.6,0.0,1.6,0.0,240,0.0,286.0,0.0,40,47,72,29,,,
CMICE,25,25,4,6.6,0.7,39.0,6,2.6,1.2,219.0,27,7.1,0.0,0,0.0,219.0,0.0,292,0.0,40,47,72,29,,,
HE,29,59,1,4.6,0.0,24,0.0,6.1,0.0,250,0.0,7.1,0.0,2.9,0.0,235.0,0.0,326,0.0,39,57,72,36,,,
BO,107,42,17,13.3,0.0,50.0,0.0,11.3,0.0,287.0,0.0,15.4,0.0,8.2,0.0,251,0.0,307.0,0.0,40,3,72,42,,,
LTM**,120,3,44,10.9,0.8,114,0.0,7.8,1.4,244,6.0,12.3,1.5,5.2,0.3,279,2.0,301.0,5.0,40,7,72,55,,,
LTM**,120,39,8,9.8,0.3,119.0,15,7.2,0.3,259.0,10,11.5,0.5,3.9,0.3,286.0,14,304.0,1.0,40,7,72,55,,,
NJ4,72,3,89,8.4,2.1,55,14.0,6.2,1.7,308,16.0,8.8,0.0,5.7,0.0,250,0.0,292.0,0.0,38,55,72,58,,,
NJ4,72,43,49,11.9,1.5,66,7.0,9.9,1.9,302,11.0,13.8,0.0,7.1,0.0,267,0.0,306.0,0.0,38,55,72,58,,,
NJ4,72,91,1.0,1,0.4,34,24.0,0.7,0.4,97,33.0,1.1,0.0,0.6,0.0,229,0.0,244.0,0.0,38,55,72,58,,,
MA,58,58,1,5.4,0.2,17.0,5.0,6,1.5,248,1.0,7.3,1.3,3.4,0.1,226.0,9,319.0,9,39,27,73,0,,,
LT3,154,3,67,10.9,0.0,70.0,0.0,9.2,0.0,308.0,0.0,12.6,0.0,6.8,0.0,272,0.0,306.0,0.0,39,16,73,2,,,
LT3,104,9,61.0,13.9,1.2,69.0,5,10.2,1,307.0,6,15.4,0.0,7.8,0.0,265.0,0.0,300,0.0,39,16,73,2,,,
LT3,104,19,51,16.1,1.6,66,6.0,12.7,1.3,305,6.0,18.1,0.0,9.7,0.0,265,0.0,303.0,0.0,39,16,73,2,,,
LT3,70,58,12,10.7,1.1,80.0,6,8.9,1.1,319.0,7,12.2,0.0,6.7,0.0,281.0,0.0,305,0.0,39,16,73,2,,,
LT7,84,3,63,10.2,0.0,77.0,0.0,7.9,0.0,296.0,0.0,12.2,0.0,4.1,0.0,271,0.0,306.0,0.0,39,55,73,5,,,
LT7,135,58,8.0,8.3,0.0,90.0,0.0,7.4,0.0,309.0,0.0,10.5,0.0,3.7,0.0,287,0.0,311.0,0.0,39,55,73,5,,,
MESA7,107,18,50a,17.5,1.9,74,6.0,10.1,1.4,300,8.0,19.1,0.0,6.7,0.0,263,0.0,295.0,0.0,39,55,73,6,,,
MESA7,103,38,30a,15.1,1.5,67,5.0,9.9,1.4,295,8.0,16.8,0.0,6.6,0.0,259,0.0,299.0,0.0,39,55,73,6,,,
MESA7,63,66,2a,4.2,0.8,84.0,12,5.0,0.7,285.0,8,6.4,0.0,1.2,0.0,276.0,0.0,320,0.0,39,55,73,6,,,
FIRE,369,2,27,6.7,0.0,91.0,0.0,1,0.0,312.0,0.0,6.7,0.0,0.6,0.0,271,0.0,276.0,0.0,40,29,73,11,,,
P12,115,57,5,8,0.0,53.0,0.0,7.4,0.0,290.0,0.0,9.6,0.0,5.1,0.0,258,0.0,311.0,0.0,39,9,73,13,,,
28,111,3,35,10.8,0.0,83,0.0,5.9,0.0,296,0.0,12.0,0.0,2.9,0.0,270.0,0.0,297,0.0,40,16,73,13,,,
MF,116,15,219,4.3,2.9,59,46.0,5.8,2.0,304,20.0,6.3,2.1,3.4,3.0,286,38.0,330,19.0,38,31,73,14,,,
MF,116,232,2.0,1.6,0.4,345,15.0,1.8,0.7,210,20.0,2.3,0.8,0.9,0.4,191,16.0,319,9,38,31,73,14,,,
NJ3,111,47,15,11.1,0.0,62.0,0.0,10.5,0.0,304.0,0.0,13.1,0.0,7.9,0.0,270,0.0,312.0,0.0,39,4,73,20,,,
15,59,3,20,12,0.0,86.0,0.0,4,0.0,284.0,0.0,12.6,0.0,1.2,0.0,267,0.0,288.0,0.0,40,26,73,28,,,
MC,29,79,1,4.9,0.0,41,0.0,5.5,0.0,271,0.0,6.7,0.0,3.1,0.0,250.0,0.0,321,0.0,38,33,73,31,,,
49,111,27,8,9.9,0.0,49.0,0.0,9.2,0.0,284.0,0.0,12.1,0.0,6.2,0.0,253,0.0,319.0,0.0,39,38,73,34,,,
MB,406,15,45,13.2,1.3,69,4.0,12.6,1.0,309.0,5,15.8,1.3,9.0,1,277,3,312,3,38,44,73,38,,,
MB,58,45,15.0,12.6,1.0,58,5.0,12.5,1.0,296,3.0,15.5,1.0,8.6,1,267.0,4,315,0,38,44,73,38,,,
MB,522,50,10.0,11,0.8,60,5.0,11.2,1.1,290,6.0,13.8,0.6,7.4,0.7,269,4.0,316.0,5,38,44,73,38,,,
MB,58,54,6,10.5,0.2,51.0,6,10.4,0.2,284.0,7,13.3,0.3,6.6,0,257.0,7,314.0,0,38,44,73,38,,,
MB,87,59,1,5.6,1,53,5.0,5.8,0.9,283,5.0,7.3,1.3,3.4,0.4,259.0,4,316.0,2,38,44,73,38,,,
LT6,70,3,67,7.8,0.0,61.0,0.0,5.4,0.0,260.0,0.0,9.4,0.0,1.4,0.0,247,0.0,304.0,0.0,40,8,73,38,,,
LT6,70,62,8.0,4.9,0.0,98.0,0.0,4,0.0,258.0,0.0,6.2,0.0,1.1,0.0,270,0.0,309.0,0.0,40,8,73,38,,,
NJ2,111,3,35,11.5,0.0,69,0.0,10.1,0.0,305,0.0,13.6,0.0,7.2,0.0,271.0,0.0,308,0.0,39,10,73,41,,,
LT2,116 c,3,31,12.3,0.8,72.0,3,11.3,1,308.0,3.0,14.7,0.9,7.8,1.2,276,1.0,311.0,1,39,24,73,43,,,
LT2,232,15,19.0,17.4,1.1,73,6.0,15.5,1.0,312,6.0,20.3,0.7,11.3,1.5,278.0,7.0,309,6.0,39,24,73,43,,,
LT2,332,23,9.0,10.7,0.0,59.0,0.0,10.6,0.0,288.0,0.0,13.7,0.0,6.2,0.0,263,0.0,316.0,0.0,39,24,73,43,,,
P11,85,28,5,7.8,0.0,57.0,0.0,7.1,0.0,283.0,0.0,9.8,0.0,4.0,0.0,257,0.0,311.0,0.0,39,17,73,55,,,
BARNEGAT,369,2,22,1.8,0.0,83.0,0.0,2.2,0.0,301.0,0.0,2.7,0.0,0.9,0.0,286,0.0,322.0,0.0,39,46,73,56,,,
MD,116,40,1,5.3,1,48.0,11,5.0,0.4,264.0,25,6.8,0.6,2.2,1.1,244.0,15,313.0,6,38,59,74,2,,,
L.EGG INLET,264,5,7,7.0,0.0,109,0.0,5.2,0.0,340,0.0,8.0,0.0,3.5,0.0,305.0,0.0,302,0.0,39,28,74,15,,,
L.EGG INLET,365,10,2.0,4.2,0.0,89.0,0.0,3.1,0.0,293.0,0.0,5.1,0.0,1.0,0.0,278,0.0,306.0,0.0,39,28,74,15,,,
NE END L.S.,369,2,24,9.8,0.0,111,0.0,4.3,0.0,334,0.0,10.3,0.0,2.8,0.0,296.0,0.0,289,0.0,38,58,74,30,,,
WINTER QU,369,2,22,2.4,0.0,80.0,0.0,2.4,0.0,355.0,0.0,2.5,0.0,2.3,0.0,210,0.0,218.0,0.0,37,55,74,56,,,
MAR,53,9,29,11.4,1.1,131,5.0,0.4,1.8,68,11.0,12.7,0.0,7.5,0.0,290,0.0,237.0,0.0,36,50,75,2,,,
MAR,52,21,17,18.1,1.6,123,7.0,10.9,1.2,10,6.0,18.8,0.0,9.7,0.0,313,0.0,288.0,0.0,36,50,75,2,,,
MAR,53,32,6.0,9.4,1.1,110,7.0,7.5,1.4,337,11.0,11.1,0.0,4.6,0.0,307,0.0,306.0,0.0,36,50,75,2,,,
DIAMOND*,738,2,51,1.3,0.2,53,3.0,1.7,0.1,333.0,40,1.8,0,1.1,0.4,338.0,62,6.0,38,35,5,75,20,,,
CHESAPEAKE,369,2,17,8,0.0,174,0.0,0.9,0.0,3.0,0.0,8,0.0,0.2,0.0,354,0.0,277.0,0.0,36,59,75,42,,,
S8,415,70,2470,7.1,2.2,101,26.0,5.9,2.1,325,16.0,8.6,2.5,3.5,1.9,298,21.0,307,1.0,42,0,63,30,,,
S8,415,1500,1040.0,0.8,0.6,185,103.0,0.7,0.7,218,67.0,1.1,0.9,0.1,0.4,268,16.0,20,96,42,0,63,30,,,
S8,96,2530,10.0,0.6,0.0,185.0,0.0,0.8,0.0,229.0,0.0,0.9,0.0,0.4,0.0,215,0.0,34.0,0.0,42,0,63,30,,,
SITE D*,104,14,2736,3.5,0.6,118.0,20,2.3,0.5,44.0,21,3.7,0.0,2.6,0.0,100.0,0.0,65,0.0,39,20,69,57,,,
SITE D*,87,104,2646.0,2.4,0.0,115,44.0,1.5,0.4,19,52.0,2.4,0.0,1.5,0.5,297,42,273,5,39,20,69,57,,,
SITE D*,153,1000,1750.0,1,0.1,90,21.0,0.4,0.1,345,63.0,1.1,0.1,0.3,0.0,273,15,278,18,39,20,69,57,,,
SITE D*,92,2061,689,1.1,0.2,132.0,11,0.4,0.2,85.0,22,1.2,0.3,0.3,0.2,131.0,17,75.0,2,39,20,69,57,,,
SITE D*,43,2572,178,1.1,0.2,351.0,20,0.6,0.2,268.0,46,1.1,0.0,0.6,0.0,348.0,0.0,84,0.0,39,20,69,57,,,
NES765,180,1995,655,0.6,0.2,49,19.0,0.4,0.2,240,24.0,0.7,0.0,0.1,0.0,232,0.0,304.0,0.0,39,17,70,50,,,
